a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q3130571,34968,Henri Ardel,1863-06-06T00:00:00Z,1938-01-06T00:00:00Z
http://www.wikidata.org/entity/Q3837527,38465,Charlotte Blair Parker,1858-01-06T00:00:00Z,1937-01-05T00:00:00Z
http://www.wikidata.org/entity/Q4681954,3859,Adeline Dutton Train Whitney,1824-09-15T00:00:00Z,1906-03-20T00:00:00Z
http://www.wikidata.org/entity/Q4820969,3576,Augusta Stevenson,1869-01-01T00:00:00Z,1929-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4820969,3576,Augusta Stevenson,1871-01-01T00:00:00Z,1929-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4820969,3576,Augusta Stevenson,1869-01-01T00:00:00Z,1976-07-07T00:00:00Z
http://www.wikidata.org/entity/Q4820969,3576,Augusta Stevenson,1871-01-01T00:00:00Z,1976-07-07T00:00:00Z
http://www.wikidata.org/entity/Q5056828,390,Cedar Paul,1879-01-01T00:00:00Z,1972-03-18T00:00:00Z
http://www.wikidata.org/entity/Q5056828,390,Cedar Paul,1880-01-01T00:00:00Z,1972-03-18T00:00:00Z
http://www.wikidata.org/entity/Q6377982,3560,Katrina Trask,1853-05-30T00:00:00Z,1922-01-08T00:00:00Z
http://www.wikidata.org/entity/Q16029245,40399,Lady Agatha Russell,1853-01-01T00:00:00Z,1933-04-23T00:00:00Z
http://www.wikidata.org/entity/Q17060077,40995,C. M. Ridding,1862-08-30T00:00:00Z,1941-11-09T00:00:00Z
http://www.wikidata.org/entity/Q22342147,4159,Martha Dickinson Bianchi,1866-11-30T00:00:00Z,1943-01-01T00:00:00Z
http://www.wikidata.org/entity/Q22342147,4159,Martha Dickinson Bianchi,1866-11-30T00:00:00Z,1943-12-21T00:00:00Z
http://www.wikidata.org/entity/Q47006018,3872,Lurana W. Sheldon,1862-04-11T00:00:00Z,1945-06-11T00:00:00Z
http://www.wikidata.org/entity/Q60351216,34998,Elizabeth Hely Walshe,1835-01-01T00:00:00Z,1869-01-01T00:00:00Z
http://www.wikidata.org/entity/Q97446227,41425,Matilda Sager,1839-01-01T00:00:00Z,1928-01-01T00:00:00Z
http://www.wikidata.org/entity/Q137210598,4025,Q137210598,1806-04-04T00:00:00Z,1890-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5617,3972,Marie de France,1101-01-01T00:00:00Z,1300-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7186,39174,Q7186,1867-11-07T00:00:00Z,1934-07-04T00:00:00Z
http://www.wikidata.org/entity/Q7555,478,Jude Milhon,1939-03-12T00:00:00Z,2003-07-19T00:00:00Z
http://www.wikidata.org/entity/Q76189,603,Elizabeth von Arnim,1866-08-31T00:00:00Z,1941-02-09T00:00:00Z
http://www.wikidata.org/entity/Q91989,5522,Therese Albertine Luise Robinson,1797-01-26T00:00:00Z,1870-04-13T00:00:00Z
http://www.wikidata.org/entity/Q98639,55364,Margarete Böhme,1867-05-08T00:00:00Z,1939-05-23T00:00:00Z
http://www.wikidata.org/entity/Q250165,346,Sarojini Naidu,1879-02-13T00:00:00Z,1949-03-02T00:00:00Z
http://www.wikidata.org/entity/Q263254,1321,Marie Corelli,1855-05-01T00:00:00Z,1924-04-21T00:00:00Z
